Node1 id,Node1 label,Node1 lat,Node1 lon,Node2 id,Node2 label,Node2 lat,Node2 lon,Distance (km),Delay (mks)
29,Hong Kong,22.28552,114.15769,35,Manila,14.6042,120.9822,1116.5316093271947,5392.847673050351
29,Hong Kong,22.28552,114.15769,36,Tapei,46.31667,20.11667,8534.19271481085,41220.150812536405
29,Hong Kong,22.28552,114.15769,40,Singapore,1.28967,103.85007,2587.130108076387,12495.838422008948
30,Tokyo,35.61488,139.5813,31,Osaka,34.69374,135.50218,384.69765612472673,1858.0896790824302
30,Tokyo,35.61488,139.5813,34,Hanoi,21.0245,105.84117,3654.5811703559375,17651.627052819178
30,Tokyo,35.61488,139.5813,35,Manila,14.6042,120.9822,2982.260071174963,14404.316143775071
30,Tokyo,35.61488,139.5813,36,Tapei,46.31667,20.11667,9080.876096812723,43860.63154760545
30,Tokyo,35.61488,139.5813,40,Singapore,1.28967,103.85007,5305.286679002457,25624.53465958187
30,Tokyo,35.61488,139.5813,42,Sydney,-33.86785,151.20732,7820.087695657864,37771.023570027486
30,Tokyo,35.61488,139.5813,43,San Jose,37.33939,-121.89496,8348.949515592343,40325.42616031102
30,Tokyo,35.61488,139.5813,44,Los Angeles,34.05223,-118.24368,8828.405101456894,42641.1966400368
30,Tokyo,35.61488,139.5813,45,Seattle,47.60621,-122.33207,7709.2725347971655,37235.78634307031
31,Osaka,34.69374,135.50218,40,Singapore,1.28967,103.85007,4954.666526278508,23931.039321925196
31,Osaka,34.69374,135.50218,43,San Jose,37.33939,-121.89496,8707.78459857803,42058.59961113188
31,Osaka,34.69374,135.50218,44,Los Angeles,34.05223,-118.24368,9189.53972333166,44385.47686369192
31,Osaka,34.69374,135.50218,45,Seattle,47.60621,-122.33207,8042.7093234201475,38846.286032119315
37,Dallas,32.78306,-96.80667,38,Houston,29.76328,-95.36327,362.71190712510963,1751.8985114142795
37,Dallas,32.78306,-96.80667,43,San Jose,37.33939,-121.89496,2331.5917074062454,11261.587946772166
37,Dallas,32.78306,-96.80667,44,Los Angeles,34.05223,-118.24368,1990.9755621317474,9616.41196509634
37,Dallas,32.78306,-96.80667,46,Chicago,41.85003,-87.65005,1291.4696495014223,6237.79840709187
38,Houston,29.76328,-95.36327,44,Los Angeles,34.05223,-118.24368,2206.762601192825,10658.663363761345
39,Kuala Lumpur,3.1412,101.68653,40,Singapore,1.28967,103.85007,316.49925645279365,1528.6914086669933
40,Singapore,1.28967,103.85007,41,Jakarta,-6.21462,106.84513,898.242327970115,4338.510444095656
42,Sydney,-33.86785,151.20732,43,San Jose,37.33939,-121.89496,11964.008566626786,57786.16137680738
43,San Jose,37.33939,-121.89496,44,Los Angeles,34.05223,-118.24368,492.1718887261766,2377.1902225474328
43,San Jose,37.33939,-121.89496,45,Seattle,47.60621,-122.33207,1142.1773442528029,5516.716572741038
43,San Jose,37.33939,-121.89496,46,Chicago,41.85003,-87.65005,2956.6663904294724,14280.698665774351
45,Seattle,47.60621,-122.33207,46,Chicago,41.85003,-87.65005,2788.666491836488,13469.259155570238
